Name,Tax Rate,Phone,Currency,Website,Memo
David_PL,22.9,+48 556 774 746,Angolan kwanza,http://www.google.pl,Powinno się zmieni
Test Klienta po co,22.1,78364434,Euro,http://www.google.pl,"Powinno się zmienić,
testestastd"
Test Klienth blabalnba,22.1,78364434,Euro,http://www.google.pl,Powinno się zmieni
Test Klienth,22.1,78364434,Euro,http://www.google.pl,Powinno się zmieni
Test Klienth,22.1,78364434,Euro,http://www.google.pl,Powinno się zmieni
Test Klienth,22.1,78364434,Euro,http://www.google.pl,Powinno się zmieni
Test Klienth,22.1,78364434,Euro,http://www.google.pl,Powinno się zmieni
Test Klienth,22.1,78364434,Euro,http://www.google.pl,Powinno się zmieni
Test Klienth,22.1,78364434,Euro,http://www.google.pl,Powinno się zmieni
Test Klienth,22.1,78364434,Euro,http://www.google.pl,Powinno się zmieni
Test Klienth,22.1,78364434,Euro,http://www.google.pl,Powinno się zmieni
Test Klienth,22.1,78364434,Euro,http://www.google.pl,Powinno się zmieni
Test Klienth,22.1,78364434,Euro,http://www.google.pl,Powinno się zmieni
Test Klienth,22.1,78364434,Euro,http://www.google.pl,Powinno się zmieni
Test Klienth,22.1,78364434,Euro,http://www.google.pl,Powinno się zmieni
Test Klienth,22.1,78364434,Euro,http://www.google.pl,Powinno się zmieni
Test Klienth,22.1,78364434,Euro,http://www.google.pl,Powinno się zmieni
Test Klienth,22.1,78364434,Euro,http://www.google.pl,Powinno się zmieni
Test Klienth,22.1,78364434,Euro,http://www.google.pl,Powinno się zmieni
Test Klienth,22.1,78364434,Euro,http://www.google.pl,Powinno się zmieni
Test Klienth,22.1,78364434,Euro,http://www.google.pl,Powinno się zmieni
Test Klienth,22.1,78364434,Euro,http://www.google.pl,Powinno się zmieni
Test Klienth,22.1,78364434,Euro,http://www.google.pl,Powinno się zmieni
Test Klienth,22.1,78364434,Euro,http://www.google.pl,Powinno się zmieni
Test Klienth,22.1,78364434,Euro,http://www.google.pl,Powinno się zmieni
Test Klienth,22.1,78364434,Euro,http://www.google.pl,Powinno się zmieni
Test Klienth,22.1,78364434,Euro,http://www.google.pl,Powinno się zmieni
Test Klienth,22.1,78364434,Euro,http://www.google.pl,Powinno się zmieni
Test Klienth,22.1,78364434,Euro,http://www.google.pl,Powinno się zmieni
Test Klienth,22.1,78364434,Euro,http://www.google.pl,Powinno się zmieni
Test Klienth,22.1,78364434,Euro,http://www.google.pl,Powinno się zmieni
Test Klienth,22.1,78364434,Euro,http://www.google.pl,Powinno się zmieni
Test Klienth,22.1,78364434,Euro,http://www.google.pl,Powinno się zmieni
Test Klienth,22.1,78364434,Euro,http://www.google.pl,Powinno się zmieni
Test Klienth,22.1,78364434,Euro,http://www.google.pl,Powinno się zmieni
Test Klienth,22.1,78364434,Euro,http://www.google.pl,Powinno się zmieni
Test Klienth,22.1,78364434,Euro,http://www.google.pl,Powinno się zmieni
Test Klienth,22.1,78364434,Euro,http://www.google.pl,Powinno się zmieni
Test Klienth,22.1,78364434,Euro,http://www.google.pl,Powinno się zmieni
Test Klienth,22.1,78364434,Euro,http://www.google.pl,Powinno się zmieni
Test Klienth,22.1,78364434,Euro,http://www.google.pl,Powinno się zmieni
Test Klienth,22.1,78364434,Euro,http://www.google.pl,Powinno się zmieni
Test Klienth,22.1,78364434,Euro,http://www.google.pl,Powinno się zmieni
Test Klienth,22.1,78364434,Euro,http://www.google.pl,Powinno się zmieni
Test Klienth,22.1,78364434,Euro,http://www.google.pl,Powinno się zmieni
Test Klienth,22.1,78364434,Euro,http://www.google.pl,Powinno się zmieni
Test Klienth,22.1,78364434,Euro,http://www.google.pl,Powinno się zmieni
Test Klienth,22.1,78364434,Euro,http://www.google.pl,Powinno się zmieni
Test Klienth,22.1,78364434,Euro,http://www.google.pl,Powinno się zmieni
Test Klienth,22.1,78364434,Euro,http://www.google.pl,Powinno się zmieni
